pzName,pzFront,pzBord,pzHinten,pzGeschwindigkeit,pzKaliber
T-34-85,90,52,47,792,85
KV-1 (1941),90,75,70,662,76
IS-2,120,90,60,795,122
IS-3,188,90,60,795,122
BT-7,50,30,25,757,45
T-26,25,15,15,820,45
Pz.Kpfw. VI Tiger I,100,60,80,800,88
Pz.Kpfw. V Panther,139,47,40,935,75
Pz.Kpfw. VI Tiger II,223,80,80,1010,88
Pz.Kpfw. IV Ausf. H,80,30,20,750,75
Pz.Kpfw. III Ausf. L,70,30,30,768,50
Jagdpanther,200,50,40,935,88
StuG III Ausf. G,80,30,30,750,75
M4A1 Sherman,85,38,38,619,75
M4A3E2 Sherman Jumbo,140,38,38,619,75
M24 Chaffee,38,25,19,870,75
M3 Stuart,44,25,25,885,37
M26 Pershing,110,76,50,853,90
M18 Hellcat,25,13,13,792,76
Churchill Mk VII,140,50,50,609,75
Cromwell Mk IV,63,32,32,619,75
Valentine Mk IX,60,30,30,615,57
Matilda II,75,45,45,750,40
SOMUA S-35,55,40,35,700,47
Char B1 bis,90,60,40,700,75
Renault R35,43,40,38,600,37
Pz.Kpfw. 38(t) Ausf. G,50,30,25,750,37
T-25 (Skoda),80,60,35,750,75
M3 Lee,75,38,38,619,75
Pz.Kpfw. II Ausf. L,30,20,20,685,20
